XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
29.0,33534.0,63473.0,209958.0,7004.0,13921.0,44228.0,35.0,429400.0,47073.0,30189.0,75167.0,8145.0,5374.0,21.0,214166.0,62956.0,4.0,58700.0,54800.0,Claudia,6,2023-09-15,Enkoll,66
37.0,43142.0,79038.0,273198.0,6996.0,12942.0,43261.0,41.0,459000.0,48845.0,31276.0,72367.0,7754.0,4968.0,22.0,244538.0,71468.0,5.0,66000.0,62100.0,Claudia,6,2023-09-16,GEA-ISA,60
35.0,19874.0,48724.0,103700.0,3317.0,7631.0,18265.0,49.0,312500.0,47186.0,27844.0,40176.0,6799.0,3689.0,34.0,245861.0,45211.0,10.0,209179.0,129153.0,Claudia,6,2023-10-15,El FInanciero,55
36.0,21889.0,51724.0,112800.0,3864.0,8298.0,20348.0,50.0,324100.0,45397.0,28094.0,41359.0,5836.0,3553.0,38.0,231625.0,29654.0,9.0,204979.0,129603.0,Claudia,6,2023-10-16,Enkoll,62
32.0,24003.0,52378.0,110000.0,4819.0,9153.0,21984.0,47.0,308200.0,44241.0,27275.0,40780.0,5918.0,3627.0,37.0,231479.0,30965.0,11.0,210220.0,132224.0,Claudia,6,2023-10-17,Covarrubias,68
32.0,24003.0,52378.0,110000.0,4819.0,9153.0,21984.0,47.0,308200.0,44241.0,27275.0,40780.0,5918.0,3627.0,37.0,231479.0,30965.0,11.0,210220.0,132224.0,Claudia,6,2023-10-17,Mendoza Blanco,65
32.0,24567.0,53393.0,109000.0,4960.0,9407.0,21734.0,47.0,322900.0,50554.0,29776.0,43230.0,6970.0,4044.0,33.0,246673.0,45475.0,10.0,200960.0,129294.0,Claudia,6,2023-10-18,Simo,62
33.0,26798.0,42026.0,122700.0,4842.0,7847.0,22897.0,49.0,203763.0,25970.0,22348.0,26021.0,3702.0,2868.0,36.0,205754.0,38344.0,11.0,62763.0,34438.0,Claudia,6,2023-11-15,El Financiero,54
34.0,22595.0,39625.0,116358.0,4037.0,7255.0,21329.0,47.0,183263.0,23286.0,18680.0,24460.0,3511.0,2568.0,36.0,194494.0,36092.0,8.0,50767.0,36238.0,Claudia,6,2023-11-16,Enkoll,59
30.0,21240.0,38278.0,116858.0,4224.0,7769.0,23509.0,47.0,197863.0,24894.0,20224.0,26083.0,3689.0,2739.0,36.0,196742.0,36466.0,6.0,35667.0,28688.0,Claudia,6,2023-11-17,Mendoza Blanco,63
25.0,24227.0,36407.0,123758.0,10055.0,11791.0,48825.0,39.0,241763.0,35341.0,20442.0,64473.0,10814.0,4481.0,30.0,239569.0,71429.0,5.0,24667.0,17688.0,Claudia,6,2023-11-18,Reforma,54
47.0,21117.0,55122.0,144900.0,2939.0,7424.0,19435.0,69.0,247500.0,32313.0,24209.0,20708.0,2767.0,2068.0,54.0,172111.0,18256.0,22.0,425565.0,133376.0,Claudia,6,2023-12-15,GEA-ISA,59
49.0,22086.0,58892.0,156800.0,2909.0,7580.0,20112.0,76.0,274100.0,41097.0,25538.0,21249.0,3158.0,1996.0,52.0,165928.0,18299.0,27.0,442351.0,104480.0,Claudia,6,2023-12-16,Mendoza Blanco,63
46.0,21415.0,56000.0,149500.0,3047.0,7810.0,20719.0,73.0,263300.0,39162.0,24139.0,21000.0,3106.0,1946.0,49.0,150607.0,17646.0,30.0,485466.0,103870.0,Claudia,6,2023-12-17,Simo,66
48.0,20826.0,56603.0,155000.0,2817.0,7538.0,20486.0,72.0,231000.0,38239.0,23224.0,18610.0,3066.0,1895.0,48.0,151315.0,18379.0,25.0,419466.0,90670.0,Claudia,6,2023-12-18,El Financiero,58
