XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
66.0,7783.0,2037.0,5993.0,878.0,223.0,653.0,67.0,22291.0,5877.0,2182.0,2242.0,612.0,233.0,42.0,76039.0,11315.0,11.0,482198.0,478034.0,Maynez,7,2024-01-21,Simo,4
40.0,12390.0,2180.0,5639.0,3233.0,546.0,1021.0,65.0,23343.0,5175.0,1660.0,2410.0,518.0,180.0,22.0,19476.0,5624.0,0.0,0.0,0.0,Maynez,7,2024-02-15,Berumen,5
38.0,12304.0,2123.0,5455.0,3429.0,558.0,1001.0,63.0,22810.0,5245.0,1593.0,2373.0,533.0,175.0,20.0,18054.0,5473.0,0.0,0.0,0.0,Maynez,7,2024-02-16,Buendía y Márquez,4
32.0,11804.0,1816.0,4524.0,3345.0,507.0,846.0,63.0,22634.0,6286.0,1344.0,2348.0,682.0,139.0,19.0,15228.0,5070.0,0.0,0.0,0.0,Maynez,7,2024-02-17,Demotecnia,2
27.0,10441.0,1548.0,3077.0,3872.0,544.0,738.0,57.0,15360.0,5027.0,901.0,1833.0,601.0,109.0,17.0,13858.0,4385.0,0.0,0.0,0.0,Maynez,7,2024-02-18,El Financiero,8
15.0,6947.0,980.0,1316.0,3714.0,518.0,650.0,58.0,13868.0,4918.0,775.0,1668.0,586.0,96.0,18.0,15195.0,4695.0,0.0,0.0,0.0,Maynez,7,2024-02-19,Mitofsky,5
15.0,6269.0,935.0,1360.0,3488.0,503.0,665.0,60.0,12696.0,4368.0,770.0,1500.0,512.0,92.0,19.0,14917.0,4386.0,0.0,0.0,0.0,Maynez,7,2024-02-20,Simo,3
42.0,2252.0,2323.0,4987.0,375.0,493.0,909.0,39.0,47778.0,6830.0,4540.0,8440.0,1208.0,871.0,34.0,65620.0,12408.0,17.0,18485000.0,2608289.0,Maynez,7,2024-03-15,Altica,6
45.0,2443.0,2123.0,4965.0,380.0,331.0,760.0,43.0,61443.0,10462.0,5345.0,9789.0,1584.0,928.0,39.0,68218.0,11582.0,19.0,19304000.0,3017789.0,Maynez,7,2024-03-16,Berumen,4
44.0,2261.0,2014.0,4625.0,357.0,319.0,718.0,44.0,54031.0,10718.0,5859.0,8326.0,1571.0,987.0,38.0,48804.0,9244.0,27.0,23825000.0,3582914.0,Maynez,7,2024-03-17,Covarrubias,5
